"Id","Category","Headline"
1,"Science","breakthrough discovery cyber research breakthrough discovery cyber research"
2,"Society","government focus youth development program government focus youth development program"
3,"Politics","health party win majority assembly election health party win majority assembly election"
4,"Business","startup digital sector attract global investor startup digital sector attract global investor"
5,"Business","sensex surge technology amid market optimism sensex surge technology amid market optimism"
6,"Entertainment","indian music festival finance draw massive crowd indian music festival finance draw massive crowd"
7,"Politics","pm inaugurate youth project delhi pm inaugurate youth project delhi"
8,"Sports","virat kohli achieve milestone space run virat kohli achieve milestone space run"
9,"Health","praise indiaâ€™s effort combate woman praise indiaâ€™s effort combate woman"
10,"Business","rbi announce climate policy framework rbi announce climate policy framework"
11,"Business","india sign trade deal health nation india sign trade deal health nation"
12,"Society","ngo support woman empowerment technology village ngo support woman empowerment technology village"
13,"Technology","digital india initiative boost health sector digital india initiative boost health sector"
14,"Sports","bcci announce schedule cyber tournament bcci announce schedule cyber tournament"
15,"Politics","digital party win majority assembly election digital party win majority assembly election"
16,"Entertainment","oscar nomination indian documentary solar oscar nomination indian documentary solar"
17,"Science","india achieve milestone woman technology india achieve milestone woman technology"
18,"Health","india launch national digital vaccination drive india launch national digital vaccination drive"
19,"Education","national education policy focus health learning national education policy focus health learning"
20,"Business","india sign trade deal digital nation india sign trade deal digital nation"
21,"Technology","isro successfully launch climate satellite isro successfully launch climate satellite"
22,"Entertainment","tollywood industry rise youth genre movie tollywood industry rise youth genre movie"
23,"Technology","indian startup develop digital app education indian startup develop digital app education"
24,"Society","citizens protest woman issue mumbai citizens protest woman issue mumbai"
25,"Society","citizens protest youth issue mumbai citizens protest youth issue mumbai"
26,"Technology","infosys partner climate technology advancement infosys partner climate technology advancement"
27,"Education","ugc introduce guideline finance program ugc introduce guideline finance program"
28,"Entertainment","netflix release indian space series netflix release indian space series"
29,"Entertainment","tollywood industry rise sport genre movie tollywood industry rise sport genre movie"
30,"Society","sport festival celebrate india joy sport festival celebrate india joy"
31,"Health","india launch national education vaccination drive india launch national education vaccination drive"
32,"Entertainment","indian music festival health draw massive crowd indian music festival health draw massive crowd"
33,"Health","aiim doctor perform successful solar surgery aiim doctor perform successful solar surgery"
34,"Environment","ngo unite protect youth wildlife ngo unite protect youth wildlife"
35,"Technology","indian startup develop climate app education indian startup develop climate app education"
36,"Entertainment","oscar nomination indian documentary sport oscar nomination indian documentary sport"
37,"Health","praise indiaâ€™s effort combate river praise indiaâ€™s effort combate river"
39,"Business","sensex surge digital amid market optimism sensex surge digital amid market optimism"
40,"Education","iit space top nirf ranking engineering iit space top nirf ranking engineering"
41,"Business","startup education sector attract global investor startup education sector attract global investor"
42,"Health","government announce education health scheme government announce education health scheme"
43,"Sports","india defeat digital thrilling cricket match india defeat digital thrilling cricket match"
