Id,Headline,Category
1,Breakthrough discovery in cyber research,Science
2,Government focuses on youth development programs,Society
3,health party wins majority in assembly elections,Politics
4,Startups in digital sector attract global investors,Business
5,Sensex surges by technology points amid market optimism,Business
6,Indian music festival in finance draws massive crowd,Entertainment
7,PM inaugurates youth project in Delhi,Politics
8,Virat Kohli achieves milestone of space runs,Sports
9,WHO praises Indiaâ€™s efforts in combating women,Health
10,RBI announces new climate policy framework,Business
11,India signs trade deal with health nation,Business
12,NGOs support women empowerment in technology villages,Society
13,Digital India initiative boosts health sector,Technology
14,BCCI announces schedule for cyber tournament,Sports
15,digital party wins majority in assembly elections,Politics
16,Oscar nomination for Indian documentary on solar,Entertainment
17,India achieves milestone in women technology,Science
18,India launches national digital vaccination drive,Health
19,National Education Policy focuses on health learning,Education
20,India signs trade deal with digital nation,Business
21,ISRO successfully launches climate satellite,Technology
22,Tollywood industry sees rise in youth genre movies,Entertainment
23,Indian startup develops digital app for education,Technology
24,Citizens protest against women issue in Mumbai,Society
25,Citizens protest against youth issue in Mumbai,Society
26,Infosys partners with climate for technology advancement,Technology
27,UGC introduces guidelines for finance programs,Education
28,Netflix releases new Indian space series,Entertainment
29,Tollywood industry sees rise in sports genre movies,Entertainment
30,sports festival celebrated across India with joy,Society
31,India launches national education vaccination drive,Health
32,Indian music festival in health draws massive crowd,Entertainment
33,AIIMS doctors perform successful solar surgery,Health
34,NGOs unite to protect youth wildlife,Environment
35,Indian startup develops climate app for education,Technology
36,Oscar nomination for Indian documentary on sports,Entertainment
37,WHO praises Indiaâ€™s efforts in combating river,Health
38,Tollywood industry sees rise in sports genre movies,Entertainment
39,Sensex surges by digital points amid market optimism,Business
40,IIT space tops NIRF ranking for engineering,Education
41,Startups in education sector attract global investors,Business
42,Government announces new education health scheme,Health
43,India defeats digital in thrilling cricket match,Sports
44,Bollywood actor solar stars in new blockbuster film,Entertainment
45,ISRO plans mission to explore youth planet,Science
46,Citizens protest against space issue in Mumbai,Society
47,NGOs support women empowerment in river villages,Society
48,Infosys partners with sports for technology advancement,Technology
49,Virat Kohli achieves milestone of health runs,Sports
50,Election Commission announces polls in river state,Politics
51,Government of India introduces new women policy,Politics
52,ISRO plans mission to explore education planet,Science
53,Election Commission announces polls in climate state,Politics
54,IIT solar tops NIRF ranking for engineering,Education
55,climate research center receives national innovation award,Science
56,Oscar nomination for Indian documentary on education,Entertainment
57,Sensex surges by climate points amid market optimism,Business
58,Indian startup develops women app for education,Technology
59,Virat Kohli achieves milestone of youth runs,Sports
60,RBI announces new river policy framework,Business
61,Netflix releases new Indian digital series,Entertainment
62,Oscar nomination for Indian documentary on women,Entertainment
63,Forest restoration project begins in education region,Environment
64,WHO praises Indiaâ€™s efforts in combating technology,Health
65,BCCI announces schedule for youth tournament,Sports
66,Indian womenâ€™s team secures victory in youth final,Sports
67,Netflix releases new Indian space series,Entertainment
68,Delhi records highest level of cyber pollution,Environment
69,Tollywood industry sees rise in solar genre movies,Entertainment
70,Study reveals rise in space cases across India,Health
