Id,Headline_Reference,Document,Headline,text
1,RBI announces new women policy framework,"""rbi announce woman policy framework""",rbi announce woman policy framework rbi announce woman policy framework,Business
2,PM inaugurates climate project in Delhi,"""pm inaugurate climate project delhi""",pm inaugurate climate project delhi pm inaugurate climate project delhi,Politics
3,Government launches finance scholarship for students,"""government launch finance scholarship student""",government launch finance scholarship student government launch finance scholarship student,Business
4,WHO praises Indiaâ€™s efforts in combating space,"""praise indiaâ€™s effort combate space""",praise indiaâ€™s effort combate space praise indiaâ€™s effort combate space,Entertainment
5,Indian music festival in sports draws massive crowd,"""indian music festival sport draw massive crowd""",indian music festival sport draw massive crowd indian music festival sport draw massive crowd,Entertainment
6,Digital India initiative boosts solar sector,"""digital india initiative boost solar sector""",digital india initiative boost solar sector digital india initiative boost solar sector,Technology
7,Indian music festival in health draws massive crowd,"""indian music festival health draw massive crowd""",indian music festival health draw massive crowd indian music festival health draw massive crowd,Entertainment
8,IIT researchers develop sports for renewable energy,"""iit researcher develop sport renewable energy""",iit researcher develop sport renewable energy iit researcher develop sport renewable energy,Sports
9,NGOs unite to protect youth wildlife,"""ngo unite protect youth wildlife""",ngo unite protect youth wildlife ngo unite protect youth wildlife,Entertainment
10,Oscar nomination for Indian documentary on river,"""oscar nomination indian documentary river""",oscar nomination indian documentary river oscar nomination indian documentary river,Entertainment
11,Sensex surges by finance points amid market optimism,"""sensex surge finance amid market optimism""",sensex surge finance amid market optimism sensex surge finance amid market optimism,Business
12,Government launches river cleanup campaign,"""government launch river cleanup campaign""",government launch river cleanup campaign government launch river cleanup campaign,Politics
13,women company expands operations in India,"""woman company expand operation india""",woman company expand operation india woman company expand operation india,Business
14,UGC introduces guidelines for river programs,"""ugc introduce guideline river program""",ugc introduce guideline river program ugc introduce guideline river program,Science
16,space company expands operations in India,"""space company expand operation india""",space company expand operation india space company expand operation india,Business
17,cyber river rejuvenation project gains momentum,"""cyber river rejuvenation project gain momentum""",cyber river rejuvenation project gain momentum cyber river rejuvenation project gain momentum,Entertainment
18,Forest restoration project begins in education region,"""forest restoration project begin education region""",forest restoration project begin education region forest restoration project begin education region,Education
19,CBSE implements youth curriculum for schools,"""cbse implement youth curriculum school""",cbse implement youth curriculum school cbse implement youth curriculum school,Education
20,WHO praises Indiaâ€™s efforts in combating digital,"""praise indiaâ€™s effort combate digital""",praise indiaâ€™s effort combate digital praise indiaâ€™s effort combate digital,Entertainment
21,Oscar nomination for Indian documentary on solar,"""oscar nomination indian documentary solar""",oscar nomination indian documentary solar oscar nomination indian documentary solar,Entertainment
22,TCS introduces new AI-driven education solution,"""tcs introduce ai-driven education solution""",tcs introduce ai-driven education solution tcs introduce ai-driven education solution,Education
24,Netflix releases new Indian solar series,"""netflix release indian solar series""",netflix release indian solar series netflix release indian solar series,Entertainment
